Incident_ID,ResponseDate,CaseNumber,HundredBlock,Problem
"01/02/2019 19:42:30","1","SUSPI1B-Suspicious I/P","BPD190102-000370",""
"01/02/2019 21:17:43","1","TRESP1B-Trespassing I/P","BPD190102-000382","20190102-0000060"
"01/02/2019 23:32:21","1","STABB-Stabbing","BPD190102-000397","20190103-0000061"
"01/03/2019 00:22:38","1","SUSPI1B-Suspicious I/P","BPD190103-000401",""
"01/03/2019 03:57:03","1","TRESP1B-Trespassing I/P","BPD190103-000421",""
"01/03/2019 06:29:11","1","TRESP1B-Trespassing I/P","BPD190103-000427",""
"01/03/2019 06:47:22","1","TRESP1B-Trespassing I/P","BPD190103-000428",""
"01/03/2019 08:32:42","1","SUSPI1B-Suspicious I/P","BPD190103-000443",""
"01/03/2019 11:20:11","1","DISTU1B - Disturbance I/P","BPD190103-000478",""
"01/03/2019 12:19:29","1","DISTU1B - Disturbance I/P","BPD190103-000491",""
"01/03/2019 12:44:23","1","DISTU1B - Disturbance I/P","BPD190103-000499",""
"01/03/2019 13:56:37","1","TRESP1B-Trespassing I/P","BPD190103-000509","20190103-0000081"
"01/03/2019 14:08:02","1","TRESP1B-Trespassing I/P","BPD190103-000514",""
"01/03/2019 14:11:52","1","ASSAU1B-Assault I/P","BPD190103-000516",""
"01/03/2019 14:49:25","1","DISTU1B - Disturbance I/P","BPD190103-000529",""
"01/03/2019 14:58:19","1","SUSPI1B-Suspicious I/P","BPD190103-000531",""
"01/03/2019 17:56:21","1","TRESP1B-Trespassing I/P","BPD190103-000574",""
"01/03/2019 18:00:20","1","DISTU1B - Disturbance I/P","BPD190103-000577",""
"01/03/2019 19:08:00","1","DISTU1B - Disturbance I/P","BPD190103-000587",""
"01/03/2019 21:03:14","1","DISTU1B - Disturbance I/P","BPD190103-000609","20190103-0000098"
"01/03/2019 22:10:45","1","TRESP1B-Trespassing I/P","BPD190103-000617",""
"01/03/2019 22:57:36","1","TRESP1B-Trespassing I/P","BPD190103-000620",""
"01/03/2019 23:31:27","1","DISTU1B - Disturbance I/P","BPD190103-000622",""
"01/04/2019 01:37:50","1","SUSPI1B-Suspicious I/P","BPD190104-000630",""
"01/04/2019 07:52:07","1","WEAPO1B-Weapon I/P","BPD190104-000657","20190104-0000107"
"01/04/2019 08:18:17","1","TRESP1B-Trespassing I/P","BPD190104-000661",""
"01/04/2019 08:44:29","1","TRESP1B-Trespassing I/P","BPD190104-000665","20190104-0000109"
"01/04/2019 09:26:52","1","TRESP1B-Trespassing I/P","BPD190104-000673","20190104-0000111"
"01/04/2019 12:16:18","1","SUSPI1B-Suspicious I/P","BPD190104-000720","20190104-0000121"
"01/04/2019 14:17:37","1","DISTU1B - Disturbance I/P","BPD190104-000759",""
"01/04/2019 17:36:19","1","DISTU1B - Disturbance I/P","BPD190104-000806",""
"01/04/2019 16:32:33","1","TRESP1B-Trespassing I/P","BPD190104-000794",""
"01/04/2019 18:35:56","1","SUSPI1B-Suspicious I/P","BPD190104-000821","20190104-0000131"
"01/04/2019 19:33:12","1","TRESP1B-Trespassing I/P","BPD190104-000830",""
"01/04/2019 21:01:38","1","DISTU1B - Disturbance I/P","BPD190104-000845",""
"01/04/2019 22:37:37","1","SUSPI1B-Suspicious I/P","BPD190104-000860",""
"01/05/2019 07:03:30","1","DISTU1B - Disturbance I/P","BPD190105-000906",""
"01/05/2019 05:08:16","1","DISTU1B - Disturbance I/P","BPD190105-000900","20190105-0000144"
"01/05/2019 10:28:17","1","DISTU1B - Disturbance I/P","BPD190105-000936",""
"01/05/2019 14:32:34","1","HARAS1B-Harassment I/P","BPD190105-000994","20190105-0000151"
"01/05/2019 18:02:48","1","DISTU1B - Disturbance I/P","BPD190105-001029","20190105-0000160"
"01/05/2019 21:09:02","1","DISTU1B - Disturbance I/P","BPD190105-001051",""
"01/05/2019 22:22:10","1","DISTU1B - Disturbance I/P","BPD190105-001062",""
"01/05/2019 22:40:30","1","DISTU1B - Disturbance I/P","BPD190105-001065","20190105-0000173"
"01/06/2019 06:38:33","1","HARAS1B-Harassment I/P","BPD190106-001094",""
"01/06/2019 06:41:11","1","DISTU1B - Disturbance I/P","BPD190106-001095","20190106-0000179"
"01/06/2019 13:26:13","1","DISTU1B - Disturbance I/P","BPD190106-001148",""
"01/06/2019 13:33:58","1","TRESP1B-Trespassing I/P","BPD190106-001150",""
"01/06/2019 16:10:27","1","CRMIS1B - Criminal Mis I/P","BPD190106-001176",""
"01/06/2019 19:58:55","1","TRESP1B-Trespassing I/P","BPD190106-001206","20190106-0000196"
"01/06/2019 21:21:18","1","TRESP1B-Trespassing I/P","BPD190106-001218",""
"01/06/2019 22:36:45","1","SUSPI1B-Suspicious I/P","BPD190106-001225",""
"01/07/2019 00:08:16","1","DISTU1B - Disturbance I/P","BPD190107-001238",""
"01/07/2019 00:58:47","1","SHOTS1B-Shots Heard I/P","BPD190107-001244",""
"01/07/2019 01:09:09","1","DISTU1B - Disturbance I/P","BPD190107-001246",""
"01/07/2019 07:39:40","1","TRESP1B-Trespassing I/P","BPD190107-001266","20190107-0000204"
"01/07/2019 07:40:37","1","TRESP1B-Trespassing I/P","BPD190107-001267",""
"01/07/2019 09:15:43","1","DISTU1B - Disturbance I/P","BPD190107-001284",""
"01/07/2019 09:47:49","1","DISTU1B - Disturbance I/P","BPD190107-001290",""
"01/07/2019 09:49:40","1","DISTU1B - Disturbance I/P","BPD190107-001291",""
"01/07/2019 10:30:12","1","TRESP1B-Trespassing I/P","BPD190107-001297",""
"01/07/2019 11:22:47","1","TRESP1B-Trespassing I/P","BPD190107-001310","20190107-0000211"
"01/07/2019 12:42:55","1","DISTU1B - Disturbance I/P","BPD190107-001338",""
"01/07/2019 13:40:28","1","DISTU1B - Disturbance I/P","BPD190107-001358","20190107-0000218"
"01/07/2019 13:42:49","1","HARAS1B-Harassment I/P","BPD190107-001360",""
"01/07/2019 12:15:36","1","TRESP1B-Trespassing I/P","BPD190107-001327",""
"01/07/2019 18:00:45","1","TRESP1B-Trespassing I/P","BPD190107-001428",""
"01/07/2019 15:03:35","1","DISTU1B - Disturbance I/P","BPD190107-001384","20190107-0000222"
"01/07/2019 21:47:57","1","DISTU1B - Disturbance I/P","BPD190107-001462","20190107-0000231"
"01/07/2019 22:06:25","1","TRESP1B-Trespassing I/P","BPD190107-001467",""
"01/07/2019 21:14:55","1","TRESP1B-Trespassing I/P","BPD190107-001456",""
"01/07/2019 23:11:49","1","TRESP1B-Trespassing I/P","BPD190107-001478","20190107-0000233"
"01/08/2019 00:55:26","1","TRESP1B-Trespassing I/P","BPD190108-001485",""
"01/08/2019 11:48:16","1","TRESP1B-Trespassing I/P","BPD190108-001551",""
"01/08/2019 12:41:50","1","DISTU1B - Disturbance I/P","BPD190108-001563",""
"01/08/2019 12:43:01","1","DISTU1B - Disturbance I/P","BPD190108-001564","20190108-0000242"
"01/08/2019 14:21:30","1","DISTU1B - Disturbance I/P","BPD190108-001588","20190108-0000245"
"01/08/2019 15:13:48","1","HARAS1B-Harassment I/P","BPD190108-001622",""
"01/08/2019 16:19:47","1","TRESP1B-Trespassing I/P","BPD190108-001636",""
"01/08/2019 17:37:09","1","DISTU1B - Disturbance I/P","BPD190108-001653",""
"01/08/2019 19:14:27","1","HARAS1B-Harassment I/P","BPD190108-001666",""
"01/08/2019 20:03:02","1","TRESP1B-Trespassing I/P","BPD190108-001675",""
"01/08/2019 22:59:57","1","SUSPI1B-Suspicious I/P","BPD190108-001692",""
"01/08/2019 23:37:25","1","DISTU1B - Disturbance I/P","BPD190108-001697",""
"01/09/2019 01:52:33","1","TRESP1B-Trespassing I/P","BPD190109-001702",""
"01/09/2019 08:07:08","1","HARAS1B-Harassment I/P","BPD190109-001728",""
"01/09/2019 11:34:43","1","SUSPI1B-Suspicious I/P","BPD190109-001788",""
"01/09/2019 11:59:09","1","SUSPI1B-Suspicious I/P","BPD190109-001811",""
"01/09/2019 13:49:04","1","DISTU1B - Disturbance I/P","BPD190109-001846",""
"01/09/2019 13:54:31","1","DISTU1B - Disturbance I/P","BPD190109-001847",""
"01/09/2019 17:25:57","1","DISTU1B - Disturbance I/P","BPD190109-001918","20190109-0000295"
"01/09/2019 17:26:07","1","DISTU1B - Disturbance I/P","BPD190109-001919",""
"01/09/2019 18:06:57","1","TRESP1B-Trespassing I/P","BPD190109-001925",""
"01/09/2019 18:31:04","1","DISTU1B - Disturbance I/P","BPD190109-001930",""
"01/09/2019 17:17:14","1","TRESP1B-Trespassing I/P","BPD190109-001914",""
"01/10/2019 05:45:00","1","TRESP1B-Trespassing I/P","BPD190110-002007",""
"01/10/2019 00:00:30","1","TRESP1B-Trespassing I/P","BPD190110-001983","20190110-0000305"
"01/10/2019 08:27:23","1","SUSPI1B-Suspicious I/P","BPD190110-002023",""
"01/10/2019 08:57:04","1","TRESP1B-Trespassing I/P","BPD190110-002028",""
"01/10/2019 09:14:03","1","TRESP1B-Trespassing I/P","BPD190110-002035",""
"01/10/2019 12:31:58","1","INEXP1B-Indecent Exposure I/P","BPD190110-002103",""
"01/10/2019 13:13:25","1","OAAB-Other Agency Assis","BPD190110-002120","20190110-0000318"
"01/10/2019 14:11:24","1","TRESP1B-Trespassing I/P","BPD190110-002160",""
"01/10/2019 14:40:09","1","DISTU1B - Disturbance I/P","BPD190110-002171",""
"01/10/2019 14:43:38","1","TRESP1B-Trespassing I/P","BPD190110-002173","20190110-0000324"
"01/10/2019 18:47:40","1","SUSPI1B-Suspicious I/P","BPD190110-002231",""
"01/10/2019 20:16:53","1","SUSPI1B-Suspicious I/P","BPD190110-002250",""
"01/10/2019 20:50:53","1","ASSAU1B-Assault I/P","BPD190110-002254","20190110-0000338"
"01/11/2019 07:28:20","1","DISTU1B - Disturbance I/P","BPD190111-002305",""
"01/11/2019 08:34:44","1","TRESP1B-Trespassing I/P","BPD190111-002315",""
"01/11/2019 09:13:03","1","TRESP1B-Trespassing I/P","BPD190111-002326",""
"01/11/2019 09:23:33","1","DISTU1B - Disturbance I/P","BPD190111-002327",""
"01/11/2019 10:59:51","1","DISTU1B - Disturbance I/P","BPD190111-002376",""
"01/11/2019 14:12:23","1","TRESP1B-Trespassing I/P","BPD190111-002408",""
"01/11/2019 15:35:52","1","TRESP1B-Trespassing I/P","BPD190111-002433",""
"01/11/2019 16:09:15","1","DISTU1B - Disturbance I/P","BPD190111-002446","20190111-0000362"
"01/11/2019 19:46:14","1","TRESP1B-Trespassing I/P","BPD190111-002496",""
"01/11/2019 20:07:23","1","TRESP1B-Trespassing I/P","BPD190111-002504",""
"01/12/2019 00:36:25","1","SUSPI1B-Suspicious I/P","BPD190112-002540","20190112-0000373"
"01/12/2019 02:06:41","1","DISTU1B - Disturbance I/P","BPD190112-002547",""
"01/12/2019 06:17:16","1","TRESP1B-Trespassing I/P","BPD190112-002561",""
"01/12/2019 07:42:41","1","DISTU1B - Disturbance I/P","BPD190112-002569",""
"01/12/2019 08:35:01","1","DISTU1B - Disturbance I/P","BPD190112-002577",""
"01/12/2019 09:33:53","1","MENAC1B-Menacing I/P","BPD190112-002585","20190112-0000380"
"01/12/2019 09:45:50","1","TRESP1B-Trespassing I/P","BPD190112-002586",""
"01/12/2019 13:26:51","1","TRESP1B-Trespassing I/P","BPD190112-002632",""
"01/12/2019 14:14:42","1","TRESP1B-Trespassing I/P","BPD190112-002639",""
"01/12/2019 14:20:23","1","TRESP1B-Trespassing I/P","BPD190112-002640",""
"01/12/2019 15:41:56","1","DISTU1B - Disturbance I/P","BPD190112-002659",""
"01/12/2019 15:49:13","1","HARAS1B-Harassment I/P","BPD190112-002661",""
"01/12/2019 16:34:04","1","DISTU1B - Disturbance I/P","BPD190112-002671",""
"01/12/2019 16:34:37","1","DISTU1B - Disturbance I/P","BPD190112-002672",""
"01/12/2019 17:27:14","1","HARAS1B-Harassment I/P","BPD190112-002678",""
"01/12/2019 17:35:15","1","DISTU1B - Disturbance I/P","BPD190112-002680",""
"01/12/2019 18:10:07","1","DISTU1B - Disturbance I/P","BPD190112-002684","20190112-0000394"
"01/12/2019 18:25:56","1","DISTU1B - Disturbance I/P","BPD190112-002685",""
"01/13/2019 02:03:15","1","DISTU1B - Disturbance I/P","BPD190113-002734","20190113-0000404"
"01/13/2019 04:13:48","1","DISTU1B - Disturbance I/P","BPD190113-002744",""
"01/13/2019 10:43:33","1","TRESP1B-Trespassing I/P","BPD190113-002769","20190113-0000411"
"01/13/2019 12:56:19","1","SUSPI1B-Suspicious I/P","BPD190113-002786",""
"01/13/2019 19:45:54","1","DISTU1B - Disturbance I/P","BPD190113-002861",""
"01/13/2019 19:58:14","1","DISTU1B - Disturbance I/P","BPD190113-002864",""
"01/13/2019 20:16:35","1","WEAPO1B-Weapon I/P","BPD190113-002871",""
"01/13/2019 20:29:24","1","DISTU1B - Disturbance I/P","BPD190113-002874","20190113-0000421"
"01/13/2019 21:25:48","1","DISTU1B - Disturbance I/P","BPD190113-002880",""
"01/13/2019 22:04:07","1","DISTU1B - Disturbance I/P","BPD190113-002886",""
"01/13/2019 23:16:02","1","TRESP1B-Trespassing I/P","BPD190113-002894",""
"01/14/2019 02:45:38","1","TRESP1B-Trespassing I/P","BPD190114-002913","20190114-0000428"
"01/14/2019 04:46:04","1","HARAS1B-Harassment I/P","BPD190114-002916",""
"01/14/2019 00:46:52","1","TRESP1B-Trespassing I/P","BPD190114-002904",""
"01/14/2019 09:03:30","1","INEXP1B-Indecent Exposure I/P","BPD190114-002936",""
"01/14/2019 09:43:21","1","DISTU1B - Disturbance I/P","BPD190114-002951",""
"01/14/2019 11:02:00","1","TRESP1B-Trespassing I/P","BPD190114-002982",""
"01/14/2019 12:11:09","1","SUSPI1B-Suspicious I/P","BPD190114-003048","20190114-0000435"
"01/14/2019 14:28:13","1","SUSPI1B-Suspicious I/P","BPD190114-003080",""
"01/14/2019 18:20:37","1","DISTU1B - Disturbance I/P","BPD190114-003155",""
"01/14/2019 18:48:39","1","SUSPI1B-Suspicious I/P","BPD190114-003159",""
"01/14/2019 21:00:58","1","TRESP1B-Trespassing I/P","BPD190114-003186",""
"01/14/2019 21:17:59","1","DISTU1B - Disturbance I/P","BPD190114-003187",""
"01/14/2019 23:48:50","1","TRESP1B-Trespassing I/P","BPD190114-003208",""
"01/15/2019 04:01:14","1","TRESP1B-Trespassing I/P","BPD190115-003228",""
"01/15/2019 07:29:03","1","HARAS1B-Harassment I/P","BPD190115-003245",""
"01/15/2019 08:19:15","1","TRESP1B-Trespassing I/P","BPD190115-003257",""
"01/15/2019 10:45:16","1","TRESP1B-Trespassing I/P","BPD190115-003293",""
"01/15/2019 10:55:44","1","TRESP1B-Trespassing I/P","BPD190115-003299","20190115-0000465"
"01/15/2019 12:18:56","1","TRESP1B-Trespassing I/P","BPD190115-003321",""
"01/15/2019 14:45:53","1","SUSPI1B-Suspicious I/P","BPD190115-003358",""
"01/15/2019 15:03:05","1","TRESP1B-Trespassing I/P","BPD190115-003363",""
"01/15/2019 15:20:56","1","DISTU1B - Disturbance I/P","BPD190115-003374",""
"01/15/2019 16:11:14","1","DISTU1B - Disturbance I/P","BPD190115-003396",""
"01/15/2019 15:57:48","1","TRESP1B-Trespassing I/P","BPD190115-003390",""
"01/15/2019 18:25:32","1","DISTU1B - Disturbance I/P","BPD190115-003424","20190115-0000497"
"01/15/2019 18:42:41","1","DISTU1B - Disturbance I/P","BPD190115-003429","20190115-0000490"
"01/15/2019 19:16:51","1","DISTU1B - Disturbance I/P","BPD190115-003434",""
"01/15/2019 21:09:36","1","MENAC2B-Menacing J/O","BPD190115-003452",""
"01/15/2019 21:33:46","1","TRESP1B-Trespassing I/P","BPD190115-003455",""
"01/15/2019 20:26:20","1","SUSPI1B-Suspicious I/P","BPD190115-003447",""
"01/16/2019 01:47:34","1","DISTU1B - Disturbance I/P","BPD190116-003480","20190116-0000502"
"01/16/2019 02:03:39","1","TRESP1B-Trespassing I/P","BPD190116-003481",""
"01/16/2019 02:54:20","1","TRESP1B-Trespassing I/P","BPD190116-003484",""
"01/16/2019 03:28:43","1","DISTU1B - Disturbance I/P","BPD190116-003487",""
"01/16/2019 06:12:41","1","TRESP1B-Trespassing I/P","BPD190116-003507",""
"01/16/2019 08:29:52","1","DISTU1B - Disturbance I/P","BPD190116-003529",""
"01/16/2019 08:41:40","1","TRESP1B-Trespassing I/P","BPD190116-003533",""
"01/16/2019 10:36:36","1","TRESP1B-Trespassing I/P","BPD190116-003591",""
"01/16/2019 10:51:14","1","TRESP1B-Trespassing I/P","BPD190116-003594",""
"01/16/2019 11:17:24","1","SUSPI1B-Suspicious I/P","BPD190116-003606",""
"01/16/2019 11:32:35","1","DISTU1B - Disturbance I/P","BPD190116-003609",""
"01/16/2019 15:31:58","1","TRESP1B-Trespassing I/P","BPD190116-003687",""
"01/16/2019 17:31:12","1","DISTU1B - Disturbance I/P","BPD190116-003725",""
"01/16/2019 20:10:37","1","HARAS1B-Harassment I/P","BPD190116-003766",""
"01/16/2019 23:05:42","1","DISTU1B - Disturbance I/P","BPD190116-003796",""
"01/16/2019 23:06:42","1","DISTU1B - Disturbance I/P","BPD190116-003797","20190117-0000539"
"01/16/2019 23:21:03","1","HARAS1B-Harassment I/P","BPD190116-003800",""
"01/17/2019 02:45:35","1","DISTU1B - Disturbance I/P","BPD190117-003819",""
"01/17/2019 09:34:07","1","SUSPI1B-Suspicious I/P","BPD190117-003869",""
"01/17/2019 12:52:47","1","TRESP1B-Trespassing I/P","BPD190117-003963",""
"01/17/2019 13:54:22","1","HARAS1B-Harassment I/P","BPD190117-004002",""
"01/17/2019 14:08:28","1","DISTU1B - Disturbance I/P","BPD190117-004012","20190117-0000557"
"01/17/2019 14:09:01","1","DISTU1B - Disturbance I/P","BPD190117-004014",""
"01/17/2019 16:32:16","1","CRMIS1B - Criminal Mis I/P","BPD190117-004087",""
"01/17/2019 17:30:36","1","DISTU1B - Disturbance I/P","BPD190117-004101",""
"01/17/2019 19:57:52","1","DISTU2B - Disturbance J/O","BPD190117-004131",""
"01/17/2019 20:58:16","1","DISTU1B - Disturbance I/P","BPD190117-004135",""
"01/17/2019 20:43:45","1","DISTU1B - Disturbance I/P","BPD190117-004139","20190117-0000571"
"01/18/2019 01:05:26","1","DISTU1B - Disturbance I/P","BPD190118-004199",""
"01/18/2019 01:14:15","1","DISTU1B - Disturbance I/P","BPD190118-004201",""
"01/18/2019 01:20:42","1","DISTU1B - Disturbance I/P","BPD190118-004202",""
"01/18/2019 01:42:42","1","DISTU1B - Disturbance I/P","BPD190118-004203",""
"01/18/2019 08:58:29","1","TRESP1B-Trespassing I/P","BPD190118-004253","20190118-0000586"
"01/18/2019 13:19:12","1","TRESP1B-Trespassing I/P","BPD190118-004344",""
"01/18/2019 16:21:11","1","TRESP1B-Trespassing I/P","BPD190118-004403",""
"01/18/2019 16:57:17","1","DISTU1B - Disturbance I/P","BPD190118-004412","20190118-0000616"
"01/18/2019 18:06:05","1","SASL2B-Sex Assault J/O","BPD190118-004426","20190118-0000622"
"01/19/2019 00:24:28","1","TRESP1B-Trespassing I/P","BPD190119-004502",""
"01/19/2019 01:37:18","1","SUSPI1B-Suspicious I/P","BPD190119-004514",""
"01/19/2019 03:22:56","1","TRESP1B-Trespassing I/P","BPD190119-004533",""
"01/19/2019 04:47:43","1","TRESP1B-Trespassing I/P","BPD190119-004535",""
"01/19/2019 08:06:27","1","DISTU1B - Disturbance I/P","BPD190119-004551",""
"01/19/2019 09:41:49","1","SUSPI1B-Suspicious I/P","BPD190119-004568",""
"01/19/2019 13:11:33","1","SUSPI1B-Suspicious I/P","BPD190119-004617","20190119-0000646"
"01/19/2019 13:16:07","1","TRESP1B-Trespassing I/P","BPD190119-004618",""
"01/19/2019 11:46:10","1","DISTU1B - Disturbance I/P","BPD190119-004595",""
"01/19/2019 15:41:01","1","TRESP1B-Trespassing I/P","BPD190119-004669",""
"01/19/2019 17:01:45","1","DISTU1B - Disturbance I/P","BPD190119-004690",""
"01/19/2019 21:00:24","1","SUSPI1B-Suspicious I/P","BPD190119-004748",""
"01/19/2019 22:28:45","1","DISTU1B - Disturbance I/P","BPD190119-004769",""
"01/20/2019 00:46:15","1","SUSPI1B-Suspicious I/P","BPD190120-004803",""
"01/20/2019 01:19:21","1","DISTU1B - Disturbance I/P","BPD190120-004808",""
"01/19/2019 16:16:02","1","DISTU1B - Disturbance I/P","BPD190119-004681",""
"01/20/2019 02:58:34","1","SUSPI1B-Suspicious I/P","BPD190120-004823",""
"01/20/2019 04:21:23","1","ASSAU1B-Assault I/P","BPD190120-004838",""
"01/20/2019 04:21:24","1","ASSAU1B-Assault I/P","BPD190120-004839","20190120-0000669"
"01/20/2019 08:42:19","1","DISTU1B - Disturbance I/P","BPD190120-004859",""
"01/20/2019 13:18:47","1","TRESP1B-Trespassing I/P","BPD190120-004923","20190120-0000682"
"01/20/2019 13:51:08","1","TRESP1B-Trespassing I/P","BPD190120-004933",""
"01/20/2019 16:00:40","1","DISTU1B - Disturbance I/P","BPD190120-004960",""
"01/20/2019 20:54:40","1","DISTU1B - Disturbance I/P","BPD190120-005018",""
"01/21/2019 00:14:37","1","ASSAU1B-Assault I/P","BPD190121-005060","20190121-0000697"
"01/21/2019 01:31:51","1","DISTU1B - Disturbance I/P","BPD190121-005071",""
"01/20/2019 21:17:48","1","DISTU1B - Disturbance I/P","BPD190120-005022","20190120-0000695"
"01/21/2019 10:42:04","1","SUSPI1B-Suspicious I/P","BPD190121-005143",""
"01/21/2019 10:53:10","1","HARAS1B-Harassment I/P","BPD190121-005145",""
"01/21/2019 10:54:22","1","HARAS1B-Harassment I/P","BPD190121-005146",""
"01/21/2019 11:11:36","1","DISTU1B - Disturbance I/P","BPD190121-005150","20190121-0000703"
"01/21/2019 11:31:17","1","TRESP1B-Trespassing I/P","BPD190121-005160",""
"01/21/2019 11:51:01","1","DISTU1B - Disturbance I/P","BPD190121-005167",""
"01/21/2019 11:56:38","1","TRESP1B-Trespassing I/P","BPD190121-005170","20190121-0000705"
"01/21/2019 14:06:29","1","TRESP1B-Trespassing I/P","BPDBC190121-005196",""
"01/21/2019 14:38:49","1","DISTU1B - Disturbance I/P","BPD190121-005208",""
"01/21/2019 21:46:22","1","DISTU1B - Disturbance I/P","BPD190121-005297",""
"01/21/2019 19:24:20","1","SUSPI1B-Suspicious I/P","BPD190121-005286",""
"01/21/2019 20:14:18","1","DISTU1B - Disturbance I/P","BPD190121-005291","20190121-0000716"
"01/21/2019 23:45:23","1","DISTU1B - Disturbance I/P","BPD190121-005312",""
"01/22/2019 06:11:12","1","TRESP1B-Trespassing I/P","BPD190122-005336",""
"01/22/2019 07:05:44","1","TRESP1B-Trespassing I/P","BPD190122-005344","20190122-0000720"
"01/22/2019 07:43:18","1","TRESP1B-Trespassing I/P","BPD190122-005347","20190122-0000721"
"01/22/2019 08:23:06","1","TRESP1B-Trespassing I/P","BPD190122-005353",""
"01/22/2019 10:02:02","1","STABB-Stabbing","BPD190122-005378","20190122-0000727"
"01/22/2019 11:52:52","1","TRESP1B-Trespassing I/P","BPD190122-005410","20190122-0000730"
"01/22/2019 12:04:34","1","TRESP1B-Trespassing I/P","BPD190122-005411",""
"01/22/2019 12:34:05","1","SHOOTB-Shooting","BPD190122-005419",""
"01/22/2019 14:03:08","1","TRESP1B-Trespassing I/P","BPD190122-005430",""
"01/22/2019 18:17:28","1","DISTU1B - Disturbance I/P","BPD190122-005482",""
"01/22/2019 18:31:00","1","SUSPI1B-Suspicious I/P","BPD190122-005486","20190122-0000747"
"01/22/2019 18:56:49","1","TRESP1B-Trespassing I/P","BPD190122-005493",""
"01/22/2019 17:52:37","1","SUSPI1B-Suspicious I/P","BPD190122-005479",""
"01/22/2019 21:03:27","1","SUSPI1B-Suspicious I/P","BPD190122-005510",""
"01/22/2019 23:58:04","1","DISTU1B - Disturbance I/P","BPD190122-005524",""
"01/23/2019 03:35:57","1","TRESP1B-Trespassing I/P","BPD190123-005530","20190123-0000748"
"01/23/2019 05:52:22","1","TRESP1B-Trespassing I/P","BPD190123-005538",""
"01/23/2019 08:37:58","1","DISTU1B - Disturbance I/P","BPD190123-005569",""
"01/23/2019 08:23:11","1","SUSPI1B-Suspicious I/P","BPD190123-005562",""
"01/23/2019 08:23:26","1","TRESP1B-Trespassing I/P","BPD190123-005563","20190123-0000753"
"01/23/2019 12:46:48","1","DISTU1B - Disturbance I/P","BPD190123-005649",""
