,Incident_ID,Case Number,Date,Time,Problem,Code,Hundred Block,Status
38,1,20190102-0000060,01/02/2019,21:17:43,Trespassing ,TRESP1B,BPD190102-000382,I/P
39,1,20190103-0000061,01/02/2019,23:32:21,Stabbing,STABB,BPD190102-000397,Completed
40,1,NaN,01/03/2019,00:22:38,Suspicious ,SUSPI1B,BPD190103-000401,I/P
41,1,NaN,01/03/2019,03:57:03,Trespassing ,TRESP1B,BPD190103-000421,I/P
42,1,NaN,01/03/2019,06:29:11,Trespassing ,TRESP1B,BPD190103-000427,I/P
43,1,NaN,01/03/2019,06:47:22,Trespassing ,TRESP1B,BPD190103-000428,I/P
44,1,NaN,01/03/2019,08:32:42,Suspicious ,SUSPI1B,BPD190103-000443,I/P
45,1,NaN,01/03/2019,11:20:11, Disturbance ,DISTU1B ,BPD190103-000478,I/P
46,1,NaN,01/03/2019,12:19:29, Disturbance ,DISTU1B ,BPD190103-000491,I/P
47,1,NaN,01/03/2019,12:44:23, Disturbance ,DISTU1B ,BPD190103-000499,I/P
48,1,20190103-0000081,01/03/2019,13:56:37,Trespassing ,TRESP1B,BPD190103-000509,I/P
49,1,NaN,01/03/2019,14:08:02,Trespassing ,TRESP1B,BPD190103-000514,I/P
50,1,NaN,01/03/2019,14:11:52,Assault ,ASSAU1B,BPD190103-000516,I/P
51,1,NaN,01/03/2019,14:49:25, Disturbance ,DISTU1B ,BPD190103-000529,I/P
52,1,NaN,01/03/2019,14:58:19,Suspicious ,SUSPI1B,BPD190103-000531,I/P
53,1,NaN,01/03/2019,17:56:21,Trespassing ,TRESP1B,BPD190103-000574,I/P
54,1,NaN,01/03/2019,18:00:20, Disturbance ,DISTU1B ,BPD190103-000577,I/P
55,1,NaN,01/03/2019,19:08:00, Disturbance ,DISTU1B ,BPD190103-000587,I/P
56,1,20190103-0000098,01/03/2019,21:03:14, Disturbance ,DISTU1B ,BPD190103-000609,I/P
57,1,NaN,01/03/2019,22:10:45,Trespassing ,TRESP1B,BPD190103-000617,I/P
58,1,NaN,01/03/2019,22:57:36,Trespassing ,TRESP1B,BPD190103-000620,I/P
59,1,NaN,01/03/2019,23:31:27, Disturbance ,DISTU1B ,BPD190103-000622,I/P
60,1,NaN,01/04/2019,01:37:50,Suspicious ,SUSPI1B,BPD190104-000630,I/P
61,1,20190104-0000107,01/04/2019,07:52:07,Weapon ,WEAPO1B,BPD190104-000657,I/P
62,1,NaN,01/04/2019,08:18:17,Trespassing ,TRESP1B,BPD190104-000661,I/P
63,1,20190104-0000109,01/04/2019,08:44:29,Trespassing ,TRESP1B,BPD190104-000665,I/P
64,1,20190104-0000111,01/04/2019,09:26:52,Trespassing ,TRESP1B,BPD190104-000673,I/P
65,1,20190104-0000121,01/04/2019,12:16:18,Suspicious ,SUSPI1B,BPD190104-000720,I/P
66,1,NaN,01/04/2019,14:17:37, Disturbance ,DISTU1B ,BPD190104-000759,I/P
67,1,NaN,01/04/2019,17:36:19, Disturbance ,DISTU1B ,BPD190104-000806,I/P
68,1,NaN,01/04/2019,16:32:33,Trespassing ,TRESP1B,BPD190104-000794,I/P
69,1,20190104-0000131,01/04/2019,18:35:56,Suspicious ,SUSPI1B,BPD190104-000821,I/P
70,1,NaN,01/04/2019,19:33:12,Trespassing ,TRESP1B,BPD190104-000830,I/P
71,1,NaN,01/04/2019,21:01:38, Disturbance ,DISTU1B ,BPD190104-000845,I/P
72,1,NaN,01/04/2019,22:37:37,Suspicious ,SUSPI1B,BPD190104-000860,I/P
73,1,NaN,01/05/2019,07:03:30, Disturbance ,DISTU1B ,BPD190105-000906,I/P
74,1,20190105-0000144,01/05/2019,05:08:16, Disturbance ,DISTU1B ,BPD190105-000900,I/P
75,1,NaN,01/05/2019,10:28:17, Disturbance ,DISTU1B ,BPD190105-000936,I/P
76,1,20190105-0000151,01/05/2019,14:32:34,Harassment ,HARAS1B,BPD190105-000994,I/P
77,1,20190105-0000160,01/05/2019,18:02:48, Disturbance ,DISTU1B ,BPD190105-001029,I/P
78,1,NaN,01/05/2019,21:09:02, Disturbance ,DISTU1B ,BPD190105-001051,I/P
79,1,NaN,01/05/2019,22:22:10, Disturbance ,DISTU1B ,BPD190105-001062,I/P
80,1,20190105-0000173,01/05/2019,22:40:30, Disturbance ,DISTU1B ,BPD190105-001065,I/P
81,1,NaN,01/06/2019,06:38:33,Harassment ,HARAS1B,BPD190106-001094,I/P
82,1,20190106-0000179,01/06/2019,06:41:11, Disturbance ,DISTU1B ,BPD190106-001095,I/P
83,1,NaN,01/06/2019,13:26:13, Disturbance ,DISTU1B ,BPD190106-001148,I/P
84,1,NaN,01/06/2019,13:33:58,Trespassing ,TRESP1B,BPD190106-001150,I/P
85,1,NaN,01/06/2019,16:10:27, Criminal Mis ,CRMIS1B ,BPD190106-001176,I/P
86,1,20190106-0000196,01/06/2019,19:58:55,Trespassing ,TRESP1B,BPD190106-001206,I/P
87,1,NaN,01/06/2019,21:21:18,Trespassing ,TRESP1B,BPD190106-001218,I/P
88,1,NaN,01/06/2019,22:36:45,Suspicious ,SUSPI1B,BPD190106-001225,I/P
89,1,NaN,01/07/2019,00:08:16, Disturbance ,DISTU1B ,BPD190107-001238,I/P
90,1,NaN,01/07/2019,00:58:47,Shots Heard ,SHOTS1B,BPD190107-001244,I/P
91,1,NaN,01/07/2019,01:09:09, Disturbance ,DISTU1B ,BPD190107-001246,I/P
92,1,20190107-0000204,01/07/2019,07:39:40,Trespassing ,TRESP1B,BPD190107-001266,I/P
93,1,NaN,01/07/2019,07:40:37,Trespassing ,TRESP1B,BPD190107-001267,I/P
94,1,NaN,01/07/2019,09:15:43, Disturbance ,DISTU1B ,BPD190107-001284,I/P
95,1,NaN,01/07/2019,09:47:49, Disturbance ,DISTU1B ,BPD190107-001290,I/P
96,1,NaN,01/07/2019,09:49:40, Disturbance ,DISTU1B ,BPD190107-001291,I/P
97,1,NaN,01/07/2019,10:30:12,Trespassing ,TRESP1B,BPD190107-001297,I/P
98,1,20190107-0000211,01/07/2019,11:22:47,Trespassing ,TRESP1B,BPD190107-001310,I/P
99,1,NaN,01/07/2019,12:42:55, Disturbance ,DISTU1B ,BPD190107-001338,I/P
100,1,20190107-0000218,01/07/2019,13:40:28, Disturbance ,DISTU1B ,BPD190107-001358,I/P
101,1,NaN,01/07/2019,13:42:49,Harassment ,HARAS1B,BPD190107-001360,I/P
102,1,NaN,01/07/2019,12:15:36,Trespassing ,TRESP1B,BPD190107-001327,I/P
103,1,NaN,01/07/2019,18:00:45,Trespassing ,TRESP1B,BPD190107-001428,I/P
104,1,20190107-0000222,01/07/2019,15:03:35, Disturbance ,DISTU1B ,BPD190107-001384,I/P
105,1,20190107-0000231,01/07/2019,21:47:57, Disturbance ,DISTU1B ,BPD190107-001462,I/P
106,1,NaN,01/07/2019,22:06:25,Trespassing ,TRESP1B,BPD190107-001467,I/P
107,1,NaN,01/07/2019,21:14:55,Trespassing ,TRESP1B,BPD190107-001456,I/P
108,1,20190107-0000233,01/07/2019,23:11:49,Trespassing ,TRESP1B,BPD190107-001478,I/P
109,1,NaN,01/08/2019,00:55:26,Trespassing ,TRESP1B,BPD190108-001485,I/P
110,1,NaN,01/08/2019,11:48:16,Trespassing ,TRESP1B,BPD190108-001551,I/P
111,1,NaN,01/08/2019,12:41:50, Disturbance ,DISTU1B ,BPD190108-001563,I/P
112,1,20190108-0000242,01/08/2019,12:43:01, Disturbance ,DISTU1B ,BPD190108-001564,I/P
113,1,20190108-0000245,01/08/2019,14:21:30, Disturbance ,DISTU1B ,BPD190108-001588,I/P
114,1,NaN,01/08/2019,15:13:48,Harassment ,HARAS1B,BPD190108-001622,I/P
115,1,NaN,01/08/2019,16:19:47,Trespassing ,TRESP1B,BPD190108-001636,I/P
116,1,NaN,01/08/2019,17:37:09, Disturbance ,DISTU1B ,BPD190108-001653,I/P
117,1,NaN,01/08/2019,19:14:27,Harassment ,HARAS1B,BPD190108-001666,I/P
118,1,NaN,01/08/2019,20:03:02,Trespassing ,TRESP1B,BPD190108-001675,I/P
119,1,NaN,01/08/2019,22:59:57,Suspicious ,SUSPI1B,BPD190108-001692,I/P
120,1,NaN,01/08/2019,23:37:25, Disturbance ,DISTU1B ,BPD190108-001697,I/P
121,1,NaN,01/09/2019,01:52:33,Trespassing ,TRESP1B,BPD190109-001702,I/P
122,1,NaN,01/09/2019,08:07:08,Harassment ,HARAS1B,BPD190109-001728,I/P
123,1,NaN,01/09/2019,11:34:43,Suspicious ,SUSPI1B,BPD190109-001788,I/P
124,1,NaN,01/09/2019,11:59:09,Suspicious ,SUSPI1B,BPD190109-001811,I/P
125,1,NaN,01/09/2019,13:49:04, Disturbance ,DISTU1B ,BPD190109-001846,I/P
126,1,NaN,01/09/2019,13:54:31, Disturbance ,DISTU1B ,BPD190109-001847,I/P
127,1,20190109-0000295,01/09/2019,17:25:57, Disturbance ,DISTU1B ,BPD190109-001918,I/P
128,1,NaN,01/09/2019,17:26:07, Disturbance ,DISTU1B ,BPD190109-001919,I/P
129,1,NaN,01/09/2019,18:06:57,Trespassing ,TRESP1B,BPD190109-001925,I/P
130,1,NaN,01/09/2019,18:31:04, Disturbance ,DISTU1B ,BPD190109-001930,I/P
131,1,NaN,01/09/2019,17:17:14,Trespassing ,TRESP1B,BPD190109-001914,I/P
132,1,NaN,01/10/2019,05:45:00,Trespassing ,TRESP1B,BPD190110-002007,I/P
133,1,20190110-0000305,01/10/2019,00:00:30,Trespassing ,TRESP1B,BPD190110-001983,I/P
134,1,NaN,01/10/2019,08:27:23,Suspicious ,SUSPI1B,BPD190110-002023,I/P
135,1,NaN,01/10/2019,08:57:04,Trespassing ,TRESP1B,BPD190110-002028,I/P
136,1,NaN,01/10/2019,09:14:03,Trespassing ,TRESP1B,BPD190110-002035,I/P
137,1,NaN,01/10/2019,12:31:58,Indecent Exposure ,INEXP1B,BPD190110-002103,I/P
138,1,20190110-0000318,01/10/2019,13:13:25,Other Agency Assis,OAAB,BPD190110-002120,Completed
139,1,NaN,01/10/2019,14:11:24,Trespassing ,TRESP1B,BPD190110-002160,I/P
140,1,NaN,01/10/2019,14:40:09, Disturbance ,DISTU1B ,BPD190110-002171,I/P
141,1,20190110-0000324,01/10/2019,14:43:38,Trespassing ,TRESP1B,BPD190110-002173,I/P
142,1,NaN,01/10/2019,18:47:40,Suspicious ,SUSPI1B,BPD190110-002231,I/P
143,1,NaN,01/10/2019,20:16:53,Suspicious ,SUSPI1B,BPD190110-002250,I/P
144,1,20190110-0000338,01/10/2019,20:50:53,Assault ,ASSAU1B,BPD190110-002254,I/P
145,1,NaN,01/11/2019,07:28:20, Disturbance ,DISTU1B ,BPD190111-002305,I/P
146,1,NaN,01/11/2019,08:34:44,Trespassing ,TRESP1B,BPD190111-002315,I/P
147,1,NaN,01/11/2019,09:13:03,Trespassing ,TRESP1B,BPD190111-002326,I/P
148,1,NaN,01/11/2019,09:23:33, Disturbance ,DISTU1B ,BPD190111-002327,I/P
149,1,NaN,01/11/2019,10:59:51, Disturbance ,DISTU1B ,BPD190111-002376,I/P
150,1,NaN,01/11/2019,14:12:23,Trespassing ,TRESP1B,BPD190111-002408,I/P
151,1,NaN,01/11/2019,15:35:52,Trespassing ,TRESP1B,BPD190111-002433,I/P
152,1,20190111-0000362,01/11/2019,16:09:15, Disturbance ,DISTU1B ,BPD190111-002446,I/P
153,1,NaN,01/11/2019,19:46:14,Trespassing ,TRESP1B,BPD190111-002496,I/P
154,1,NaN,01/11/2019,20:07:23,Trespassing ,TRESP1B,BPD190111-002504,I/P
155,1,20190112-0000373,01/12/2019,00:36:25,Suspicious ,SUSPI1B,BPD190112-002540,I/P
156,1,NaN,01/12/2019,02:06:41, Disturbance ,DISTU1B ,BPD190112-002547,I/P
157,1,NaN,01/12/2019,06:17:16,Trespassing ,TRESP1B,BPD190112-002561,I/P
158,1,NaN,01/12/2019,07:42:41, Disturbance ,DISTU1B ,BPD190112-002569,I/P
159,1,NaN,01/12/2019,08:35:01, Disturbance ,DISTU1B ,BPD190112-002577,I/P
160,1,20190112-0000380,01/12/2019,09:33:53,Menacing ,MENAC1B,BPD190112-002585,I/P
161,1,NaN,01/12/2019,09:45:50,Trespassing ,TRESP1B,BPD190112-002586,I/P
162,1,NaN,01/12/2019,13:26:51,Trespassing ,TRESP1B,BPD190112-002632,I/P
163,1,NaN,01/12/2019,14:14:42,Trespassing ,TRESP1B,BPD190112-002639,I/P
164,1,NaN,01/12/2019,14:20:23,Trespassing ,TRESP1B,BPD190112-002640,I/P
165,1,NaN,01/12/2019,15:41:56, Disturbance ,DISTU1B ,BPD190112-002659,I/P
166,1,NaN,01/12/2019,15:49:13,Harassment ,HARAS1B,BPD190112-002661,I/P
167,1,NaN,01/12/2019,16:34:04, Disturbance ,DISTU1B ,BPD190112-002671,I/P
168,1,NaN,01/12/2019,16:34:37, Disturbance ,DISTU1B ,BPD190112-002672,I/P
169,1,NaN,01/12/2019,17:27:14,Harassment ,HARAS1B,BPD190112-002678,I/P
170,1,NaN,01/12/2019,17:35:15, Disturbance ,DISTU1B ,BPD190112-002680,I/P
171,1,20190112-0000394,01/12/2019,18:10:07, Disturbance ,DISTU1B ,BPD190112-002684,I/P
172,1,NaN,01/12/2019,18:25:56, Disturbance ,DISTU1B ,BPD190112-002685,I/P
173,1,20190113-0000404,01/13/2019,02:03:15, Disturbance ,DISTU1B ,BPD190113-002734,I/P
174,1,NaN,01/13/2019,04:13:48, Disturbance ,DISTU1B ,BPD190113-002744,I/P
175,1,20190113-0000411,01/13/2019,10:43:33,Trespassing ,TRESP1B,BPD190113-002769,I/P
176,1,NaN,01/13/2019,12:56:19,Suspicious ,SUSPI1B,BPD190113-002786,I/P
177,1,NaN,01/13/2019,19:45:54, Disturbance ,DISTU1B ,BPD190113-002861,I/P
178,1,NaN,01/13/2019,19:58:14, Disturbance ,DISTU1B ,BPD190113-002864,I/P
179,1,NaN,01/13/2019,20:16:35,Weapon ,WEAPO1B,BPD190113-002871,I/P
180,1,20190113-0000421,01/13/2019,20:29:24, Disturbance ,DISTU1B ,BPD190113-002874,I/P
181,1,NaN,01/13/2019,21:25:48, Disturbance ,DISTU1B ,BPD190113-002880,I/P
182,1,NaN,01/13/2019,22:04:07, Disturbance ,DISTU1B ,BPD190113-002886,I/P
183,1,NaN,01/13/2019,23:16:02,Trespassing ,TRESP1B,BPD190113-002894,I/P
184,1,20190114-0000428,01/14/2019,02:45:38,Trespassing ,TRESP1B,BPD190114-002913,I/P
185,1,NaN,01/14/2019,04:46:04,Harassment ,HARAS1B,BPD190114-002916,I/P
186,1,NaN,01/14/2019,00:46:52,Trespassing ,TRESP1B,BPD190114-002904,I/P
187,1,NaN,01/14/2019,09:03:30,Indecent Exposure ,INEXP1B,BPD190114-002936,I/P
188,1,NaN,01/14/2019,09:43:21, Disturbance ,DISTU1B ,BPD190114-002951,I/P
189,1,NaN,01/14/2019,11:02:00,Trespassing ,TRESP1B,BPD190114-002982,I/P
190,1,20190114-0000435,01/14/2019,12:11:09,Suspicious ,SUSPI1B,BPD190114-003048,I/P
191,1,NaN,01/14/2019,14:28:13,Suspicious ,SUSPI1B,BPD190114-003080,I/P
192,1,NaN,01/14/2019,18:20:37, Disturbance ,DISTU1B ,BPD190114-003155,I/P
193,1,NaN,01/14/2019,18:48:39,Suspicious ,SUSPI1B,BPD190114-003159,I/P
194,1,NaN,01/14/2019,21:00:58,Trespassing ,TRESP1B,BPD190114-003186,I/P
195,1,NaN,01/14/2019,21:17:59, Disturbance ,DISTU1B ,BPD190114-003187,I/P
196,1,NaN,01/14/2019,23:48:50,Trespassing ,TRESP1B,BPD190114-003208,I/P
197,1,NaN,01/15/2019,04:01:14,Trespassing ,TRESP1B,BPD190115-003228,I/P
198,1,NaN,01/15/2019,07:29:03,Harassment ,HARAS1B,BPD190115-003245,I/P
199,1,NaN,01/15/2019,08:19:15,Trespassing ,TRESP1B,BPD190115-003257,I/P
200,1,NaN,01/15/2019,10:45:16,Trespassing ,TRESP1B,BPD190115-003293,I/P
201,1,20190115-0000465,01/15/2019,10:55:44,Trespassing ,TRESP1B,BPD190115-003299,I/P
202,1,NaN,01/15/2019,12:18:56,Trespassing ,TRESP1B,BPD190115-003321,I/P
203,1,NaN,01/15/2019,14:45:53,Suspicious ,SUSPI1B,BPD190115-003358,I/P
204,1,NaN,01/15/2019,15:03:05,Trespassing ,TRESP1B,BPD190115-003363,I/P
205,1,NaN,01/15/2019,15:20:56, Disturbance ,DISTU1B ,BPD190115-003374,I/P
206,1,NaN,01/15/2019,16:11:14, Disturbance ,DISTU1B ,BPD190115-003396,I/P
207,1,NaN,01/15/2019,15:57:48,Trespassing ,TRESP1B,BPD190115-003390,I/P
208,1,20190115-0000497,01/15/2019,18:25:32, Disturbance ,DISTU1B ,BPD190115-003424,I/P
209,1,20190115-0000490,01/15/2019,18:42:41, Disturbance ,DISTU1B ,BPD190115-003429,I/P
210,1,NaN,01/15/2019,19:16:51, Disturbance ,DISTU1B ,BPD190115-003434,I/P
211,1,NaN,01/15/2019,21:09:36,Menacing ,MENAC2B,BPD190115-003452,J/O
212,1,NaN,01/15/2019,21:33:46,Trespassing ,TRESP1B,BPD190115-003455,I/P
213,1,NaN,01/15/2019,20:26:20,Suspicious ,SUSPI1B,BPD190115-003447,I/P
214,1,20190116-0000502,01/16/2019,01:47:34, Disturbance ,DISTU1B ,BPD190116-003480,I/P
215,1,NaN,01/16/2019,02:03:39,Trespassing ,TRESP1B,BPD190116-003481,I/P
216,1,NaN,01/16/2019,02:54:20,Trespassing ,TRESP1B,BPD190116-003484,I/P
217,1,NaN,01/16/2019,03:28:43, Disturbance ,DISTU1B ,BPD190116-003487,I/P
218,1,NaN,01/16/2019,06:12:41,Trespassing ,TRESP1B,BPD190116-003507,I/P
219,1,NaN,01/16/2019,08:29:52, Disturbance ,DISTU1B ,BPD190116-003529,I/P
220,1,NaN,01/16/2019,08:41:40,Trespassing ,TRESP1B,BPD190116-003533,I/P
221,1,NaN,01/16/2019,10:36:36,Trespassing ,TRESP1B,BPD190116-003591,I/P
222,1,NaN,01/16/2019,10:51:14,Trespassing ,TRESP1B,BPD190116-003594,I/P
223,1,NaN,01/16/2019,11:17:24,Suspicious ,SUSPI1B,BPD190116-003606,I/P
224,1,NaN,01/16/2019,11:32:35, Disturbance ,DISTU1B ,BPD190116-003609,I/P
225,1,NaN,01/16/2019,15:31:58,Trespassing ,TRESP1B,BPD190116-003687,I/P
226,1,NaN,01/16/2019,17:31:12, Disturbance ,DISTU1B ,BPD190116-003725,I/P
227,1,NaN,01/16/2019,20:10:37,Harassment ,HARAS1B,BPD190116-003766,I/P
228,1,NaN,01/16/2019,23:05:42, Disturbance ,DISTU1B ,BPD190116-003796,I/P
229,1,20190117-0000539,01/16/2019,23:06:42, Disturbance ,DISTU1B ,BPD190116-003797,I/P
230,1,NaN,01/16/2019,23:21:03,Harassment ,HARAS1B,BPD190116-003800,I/P
231,1,NaN,01/17/2019,02:45:35, Disturbance ,DISTU1B ,BPD190117-003819,I/P
232,1,NaN,01/17/2019,09:34:07,Suspicious ,SUSPI1B,BPD190117-003869,I/P
233,1,NaN,01/17/2019,12:52:47,Trespassing ,TRESP1B,BPD190117-003963,I/P
234,1,NaN,01/17/2019,13:54:22,Harassment ,HARAS1B,BPD190117-004002,I/P
235,1,20190117-0000557,01/17/2019,14:08:28, Disturbance ,DISTU1B ,BPD190117-004012,I/P
236,1,NaN,01/17/2019,14:09:01, Disturbance ,DISTU1B ,BPD190117-004014,I/P
237,1,NaN,01/17/2019,16:32:16, Criminal Mis ,CRMIS1B ,BPD190117-004087,I/P
238,1,NaN,01/17/2019,17:30:36, Disturbance ,DISTU1B ,BPD190117-004101,I/P
239,1,NaN,01/17/2019,19:57:52, Disturbance ,DISTU2B ,BPD190117-004131,J/O
240,1,NaN,01/17/2019,20:58:16, Disturbance ,DISTU1B ,BPD190117-004135,I/P
241,1,20190117-0000571,01/17/2019,20:43:45, Disturbance ,DISTU1B ,BPD190117-004139,I/P
242,1,NaN,01/18/2019,01:05:26, Disturbance ,DISTU1B ,BPD190118-004199,I/P
243,1,NaN,01/18/2019,01:14:15, Disturbance ,DISTU1B ,BPD190118-004201,I/P
244,1,NaN,01/18/2019,01:20:42, Disturbance ,DISTU1B ,BPD190118-004202,I/P
245,1,NaN,01/18/2019,01:42:42, Disturbance ,DISTU1B ,BPD190118-004203,I/P
246,1,20190118-0000586,01/18/2019,08:58:29,Trespassing ,TRESP1B,BPD190118-004253,I/P
247,1,NaN,01/18/2019,13:19:12,Trespassing ,TRESP1B,BPD190118-004344,I/P
248,1,NaN,01/18/2019,16:21:11,Trespassing ,TRESP1B,BPD190118-004403,I/P
249,1,20190118-0000616,01/18/2019,16:57:17, Disturbance ,DISTU1B ,BPD190118-004412,I/P
250,1,20190118-0000622,01/18/2019,18:06:05,Sex Assault ,SASL2B,BPD190118-004426,J/O
251,1,NaN,01/19/2019,00:24:28,Trespassing ,TRESP1B,BPD190119-004502,I/P
252,1,NaN,01/19/2019,01:37:18,Suspicious ,SUSPI1B,BPD190119-004514,I/P
253,1,NaN,01/19/2019,03:22:56,Trespassing ,TRESP1B,BPD190119-004533,I/P
254,1,NaN,01/19/2019,04:47:43,Trespassing ,TRESP1B,BPD190119-004535,I/P
255,1,NaN,01/19/2019,08:06:27, Disturbance ,DISTU1B ,BPD190119-004551,I/P
256,1,NaN,01/19/2019,09:41:49,Suspicious ,SUSPI1B,BPD190119-004568,I/P
257,1,20190119-0000646,01/19/2019,13:11:33,Suspicious ,SUSPI1B,BPD190119-004617,I/P
258,1,NaN,01/19/2019,13:16:07,Trespassing ,TRESP1B,BPD190119-004618,I/P
259,1,NaN,01/19/2019,11:46:10, Disturbance ,DISTU1B ,BPD190119-004595,I/P
260,1,NaN,01/19/2019,15:41:01,Trespassing ,TRESP1B,BPD190119-004669,I/P
261,1,NaN,01/19/2019,17:01:45, Disturbance ,DISTU1B ,BPD190119-004690,I/P
262,1,NaN,01/19/2019,21:00:24,Suspicious ,SUSPI1B,BPD190119-004748,I/P
263,1,NaN,01/19/2019,22:28:45, Disturbance ,DISTU1B ,BPD190119-004769,I/P
264,1,NaN,01/20/2019,00:46:15,Suspicious ,SUSPI1B,BPD190120-004803,I/P
265,1,NaN,01/20/2019,01:19:21, Disturbance ,DISTU1B ,BPD190120-004808,I/P
266,1,NaN,01/19/2019,16:16:02, Disturbance ,DISTU1B ,BPD190119-004681,I/P
267,1,NaN,01/20/2019,02:58:34,Suspicious ,SUSPI1B,BPD190120-004823,I/P
268,1,NaN,01/20/2019,04:21:23,Assault ,ASSAU1B,BPD190120-004838,I/P
269,1,20190120-0000669,01/20/2019,04:21:24,Assault ,ASSAU1B,BPD190120-004839,I/P
270,1,NaN,01/20/2019,08:42:19, Disturbance ,DISTU1B ,BPD190120-004859,I/P
271,1,20190120-0000682,01/20/2019,13:18:47,Trespassing ,TRESP1B,BPD190120-004923,I/P
272,1,NaN,01/20/2019,13:51:08,Trespassing ,TRESP1B,BPD190120-004933,I/P
273,1,NaN,01/20/2019,16:00:40, Disturbance ,DISTU1B ,BPD190120-004960,I/P
274,1,NaN,01/20/2019,20:54:40, Disturbance ,DISTU1B ,BPD190120-005018,I/P
275,1,20190121-0000697,01/21/2019,00:14:37,Assault ,ASSAU1B,BPD190121-005060,I/P
276,1,NaN,01/21/2019,01:31:51, Disturbance ,DISTU1B ,BPD190121-005071,I/P
277,1,20190120-0000695,01/20/2019,21:17:48, Disturbance ,DISTU1B ,BPD190120-005022,I/P
278,1,NaN,01/21/2019,10:42:04,Suspicious ,SUSPI1B,BPD190121-005143,I/P
279,1,NaN,01/21/2019,10:53:10,Harassment ,HARAS1B,BPD190121-005145,I/P
280,1,NaN,01/21/2019,10:54:22,Harassment ,HARAS1B,BPD190121-005146,I/P
281,1,20190121-0000703,01/21/2019,11:11:36, Disturbance ,DISTU1B ,BPD190121-005150,I/P
